"","x"
"sa33151.pdf.aid",28
"sa33151.pdf.infrastructur",27
"sa33221.pdf.aid",20
"sa33221.pdf.commiss",19
"sa33221.pdf.scheme",16
"sa33221.pdf.budget",11
"sa33221.pdf.articl",9
"sa33221.pdf.measur",8
"sa33221.pdf.million",8
"sa33221.pdf.sek",7
"sa33221.pdf.sweden",7
"sa33221.pdf.tfeu",7
"sa33222.pdf.infrastructur",137
"sa33222.pdf.broadband",132
"sa33222.pdf.oper",132
"sa33222.pdf.network",123
"sa33222.pdf.author",100
"sa33222.pdf.access",98
"sa33222.pdf.servic",92
"sa33222.pdf.wss",83
"sa33222.pdf.nga",82
"sa33222.pdf.polish",68
"sa33324.pdf.network",95
"sa33324.pdf.oper",55
"sa33324.pdf.broadband",50
"sa33324.pdf.servic",43
"sa33324.pdf.aid",42
"sa33324.pdf.access",37
"sa33324.pdf.infrastructur",34
"sa33324.pdf.measur",32
"sa33324.pdf.provid",31
"sa33324.pdf.competit",29
"sa33364.pdf.aid",54
"sa33364.pdf.broadband",46
"sa33364.pdf.measur",42
"sa33364.pdf.paragraph",30
"sa33364.pdf.oper",27
"sa33364.pdf.commiss",22
"sa33364.pdf.provid",17
"sa33364.pdf.network",16
"sa33364.pdf.guidelin",15
"sa33364.pdf.market",15
"sa33386.pdf.broadband",129
"sa33386.pdf.oper",113
"sa33386.pdf.infrastructur",110
"sa33386.pdf.network",103
"sa33386.pdf.author",86
"sa33386.pdf.servic",84
"sa33386.pdf.access",83
"sa33386.pdf.nga",76
"sa33386.pdf.polish",62
"sa33386.pdf.provid",58
"sa33420.pdf.aid",22
"sa33420.pdf.commiss",14
"sa33420.pdf.measur",14
"sa33420.pdf.broadband",10
"sa33420.pdf.author",7
"sa33420.pdf.scheme",7
"sa33420.pdf.amount",6
"sa33420.pdf.bayern",6
"sa33420.pdf.germani",6
"sa33420.pdf.procedur",6
"sa33438.pdf.oper",133
"sa33438.pdf.broadband",130
"sa33438.pdf.infrastructur",127
"sa33438.pdf.network",118
"sa33438.pdf.author",93
"sa33438.pdf.servic",92
"sa33438.pdf.access",90
"sa33438.pdf.nga",81
"sa33438.pdf.polish",80
"sa33438.pdf.provid",58
"sa33473.pdf.broadband",133
"sa33473.pdf.oper",128
"sa33473.pdf.network",125
"sa33473.pdf.infrastructur",119
"sa33473.pdf.author",101
"sa33473.pdf.nga",90
"sa33473.pdf.access",87
"sa33473.pdf.servic",86
"sa33473.pdf.polish",79
"sa33473.pdf.provid",59
"sa33641.pdf.network",66
"sa33641.pdf.greek",50
"sa33641.pdf.servic",50
"sa33641.pdf.aid",49
"sa33641.pdf.author",49
"sa33641.pdf.oper",43
"sa33641.pdf.broadband",42
"sa33641.pdf.measur",42
"sa33641.pdf.access",37
"sa33641.pdf.provid",35
"sa33656.pdf.network",137
"sa33656.pdf.backhaul",87
"sa33656.pdf.servic",87
"sa33656.pdf.oper",82
"sa33656.pdf.infrastructur",71
"sa33656.pdf.broadband",68
"sa33656.pdf.access",66
"sa33656.pdf.provid",60
"sa33656.pdf.nga",49
"sa33656.pdf.author",48
"sa33671.pdf.access",147
"sa33671.pdf.broadband",141
"sa33671.pdf.aid",79
"sa33671.pdf.oper",75
"sa33671.pdf.network",71
"sa33671.pdf.infrastructur",68
"sa33671.pdf.wholesal",60
"sa33671.pdf.fund",56
"sa33671.pdf.provid",56
"sa33671.pdf.market",54
"sa33807.pdf.broadband",86
"sa33807.pdf.infrastructur",71
"sa33807.pdf.aid",57
"sa33807.pdf.network",57
"sa33807.pdf.author",51
"sa33807.pdf.italian",50
"sa33807.pdf.measur",50
"sa33807.pdf.oper",49
"sa33807.pdf.access",48
"sa33807.pdf.provid",32
"sa33869.pdf.aid",21
"sa33869.pdf.measur",14
"sa33869.pdf.commiss",12
"sa33869.pdf.broadband",10
"sa33869.pdf.author",7
"sa33869.pdf.scheme",7
"sa33869.pdf.amount",6
"sa33869.pdf.bayern",6
"sa33869.pdf.germani",6
"sa33869.pdf.markt",6
"sa34031.pdf.oper",73
"sa34031.pdf.broadband",63
"sa34031.pdf.servic",58
"sa34031.pdf.measur",52
"sa34031.pdf.network",51
"sa34031.pdf.aid",42
"sa34031.pdf.access",41
"sa34031.pdf.infrastructur",39
"sa34031.pdf.region",39
"sa34031.pdf.provid",34
"sa34166.pdf.network",31
"sa34166.pdf.broadband",23
"sa34166.pdf.measur",18
"sa34166.pdf.oper",15
"sa34166.pdf.aid",12
"sa34166.pdf.servic",12
"sa34166.pdf.author",11
"sa34166.pdf.lithuanian",11
"sa34166.pdf.offer",9
"sa34166.pdf.project",9
"sa34188.pdf.broadband",29
"sa34188.pdf.aid",24
"sa34188.pdf.commiss",23
"sa34188.pdf.measur",22
"sa34188.pdf.guidelin",12
"sa34188.pdf.nga",12
"sa34188.pdf.paragraph",12
"sa34188.pdf.decis",11
"sa34188.pdf.exist",11
"sa34188.pdf.oper",10
"sa34199.pdf.broadband",58
"sa34199.pdf.aid",57
"sa34199.pdf.oper",51
"sa34199.pdf.access",48
"sa34199.pdf.infrastructur",47
"sa34199.pdf.author",42
"sa34199.pdf.measur",39
"sa34199.pdf.network",39
"sa34199.pdf.public",38
"sa34199.pdf.italian",34
"sa34290.pdf.aid",21
"sa34290.pdf.author",9
"sa34290.pdf.broadband",9
"sa34290.pdf.finnish",9
"sa34290.pdf.measur",8
"sa34290.pdf.act",7
"sa34290.pdf.articl",7
"sa34290.pdf.fund",7
"sa34290.pdf.commiss",6
"sa34290.pdf.loan",6
"sa34665.pdf.public",29
"sa34665.pdf.servic",28
"sa34665.pdf.author",17
"sa34665.pdf.broadband",16
"sa34665.pdf.network",16
"sa34665.pdf.administr",13
"sa34665.pdf.measur",12
"sa34665.pdf.project",11
"sa34665.pdf.provid",11
"sa34665.pdf.commiss",10
"sa34708.pdf.network",125
